"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Greece","GRC","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.37","78.1","80.37","80.18","78.84","77.42","78.52","78.56","79.35","79.44","79.11","81.96","81.41","81.62","80.27","80.36","80.4","80.77","80.93","81.31","80.59","80","80.24","79.43","77.9","77.22","76.95","74.92","76","75.89","75.6","75.78","75.71","74.39","73.75","74.64",
"Grenada","GRD","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.88","81.59","","86.08","","","","87.56","85.82","87.25","85.84","79.64","85.21","82.56","82.1","81.98","81.43","","84.59","79.58",
"Guam","GUM","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.44","79.14","","","",
"High income","HIC","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.6163311742114","","81.2632652513642","80.3650227906835","79.9681300621273","79.8155639941606","79.8695831104224","79.8122617183115","79.3612117070316","78.5509842195151","78.3259839819546","78.0375542296823","78.0706226893968","77.6244975250758","77.5040874918402","77.3625324584213","77.0725080994942","76.9527195162158","76.8151552131139","76.7236255463895","76.6776695525057","76.5553514551784","76.7472469711961","75.1992474622228","75.0634650721453","75.2396300907079",
"Hong Kong SAR, China","HKG","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.86","76.13","77.63","77.27","76.61","76.01","76.55","76.18","76.79","76.66","76.49","76.98","77.08","75.1",
"Honduras","HND","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.88","86.35","87.17","90.48","89.26","89.47","87.71","83.38","88.86","86.2","85.72","86.74","83.6","86.5","84.09","","85.17","",
"Heavily indebted poor countries (HIPC)","HPC","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.36","77.21","77.69","74.83","71.57","75.89","75.39","75.43","74.75","72.46","73.37","72.98","74.3","73.16","71.68","72.48","72.24","72.06","71.66","71.11","72.71",
"Haiti","HTI","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.92","","","","","","","","","","",
"Hungary","HUN","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.16","76.24","76.5","76.63","77.2","77.79","77.54","78.36","78.79","77.24","75.87","75.55","75.04","74.98","75.46","75.24","74.86","72.6","72.71","73.45","72.82","72.95","72.91","71.55","76.8","77.76",
"IBRD only","IBD","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA & IBRD total","IBT","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA total","IDA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.1302387915682","","","71.3510590997977","","","",
"Indonesia","IDN","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.08","87.09","86.75","86.02","85.88","","86.05","89.03","86.85","87.86","87.26","79.74","86.07","78.84","79.55","87.24","85.21","80.47","84.38","79.84","84.01","85.45","87.92","86.61","86.41","85.62","85.59","84.87","81.86","84.08","82.26","80.48","80.44",
"IDA only","IDX","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.46","","","","","","69.21","","","","","67.62","","","","","63.09","","64.06","","","","","","60.65","61.45","61.1","61.89","",
"Not classified","INX","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.49","81.91","83.29","83.04","82.15","83.71","","87.2","86.79","86.72","84.52","84.8","84.25","84.78","83.42","85.48","84.71","84.11","82.9","82.32","81.29","81.53","80.53","80.93","80.82","81.11","81.31","81.15","80.61","81.87","82.55",
"Iran, Islamic Rep.","IRN","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.27","46.45","45.23","41.85","42.57","42.41","39.41","41.45","40.05","39.5","41.58","43.48","","57.55","56.87","52.61","52.52","",
"Iraq","IRQ","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.6","","","","","64.98","","","","","","","","","74.71","",
"Iceland","ISL","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.39","94.69","92.84","94.23","92.81","91.08","91.45","91.29","90.79","90.16","90.36","89.99","90.8","90.94","90.81","91.01","91.71","91.75","91.33","90.21","90.16","88.07","85.96","86.69",
"Israel","ISR","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.79","75.11","76.65","81.79","81.41","82.17","82.11","82.29","81.26","81.55","81.4","80.17","80","",
"Italy","ITA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.28","83.37","83.23","82.78","82.61","81.99","82.44","82.9","82.39","82.15","82.75","82.23","82.21","80.26","76.45","75.55","76.54","75.4","74.66","75.04","75.35","74.64","74.62","74.51","75.08","75.07","74.91","74.76","73.66","75.37","75.55",
"Jamaica","JAM","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.81","80.93","80.38","76.84","76.81","76.5","77.05","","76.21","76.02","74.92","75.75","77.28","73.09","",
"Jordan","JOR","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.24","61.73","58.93","59.04","61.72","",
"Japan","JPN","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.89","77.51","","77.56","77.72","78.1","78.33","79.09","78.63","","",
"Kazakhstan","KAZ","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kenya","KEN","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.75","","","","","","77.82","77.82","","","","","","","","","","69.14","","","86.19","","67.62","",
"Kyrgyz Republic","KGZ","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.01","80.16","75.74","76.61","76.27","76.07","76.59","73.66","","","","",
"Cambodia","KHM","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.59","75.3","","84.97","60.88","58.36","","90.43","","","","79.29","73.65","65.82","89.34","93.94","94.6","80.58","63.07","75.95","79.66","79.19","","73.02","82.08","78.52","",
"Kiribati","KIR","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.66","","","","80.62","83.63","","",
"St. Kitts and Nevis","KNA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.7","65.87","66.03","67.97","69.41","69.52","69.78","69.86","69.75","69.4","69.83","70.17","70.6","70.52","71.27","71.94","72.11","72.3","72.24","72.3","71.36","72.18","73.53",
"Kuwait","KWT","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.73","","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.5878149355777","83.339949657691","82.7834171743264","83.8215347393994","84.3173295802918","83.463598809801","83.2117628058005","83.3220837455697","","82.395653723331","81.9129199380764","81.7634113056277","81.7961660973411","81.7321554789557","81.6839031885852","81.1115924329531","80.8341583971855","80.8242270230032","77.5507503996355","79.218052088055","80.4484706046064",
"Lao PDR","LAO","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.14","","","","","","","77.94","","","","","",
"Lebanon","LBN","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.79","","","",
"Liberia","LBR","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.66","","","","93.6","","92.69","74.85","","","","","",
"Libya","LBY","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.82","82.56","81.35","78.34","79.87","81.94",
"Latin America & Caribbean","LCN","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.5448563821771","83.4209928365399","82.751562685962","83.2096190081927","83.7315666339902","82.7741510503701","82.5050865534397","82.68563059875","","81.8402969218423","81.4333066955805","81.8381037618317","81.8279796373275","81.699665843322","81.0637868216868","80.8523972296542","80.923201399253","80.9404665087312","77.6985139132158","79.3308755687721","80.6114206885249",
"Least developed countries: UN classification","LDC","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liechtenstein","LIE","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.92","82.8","63.86","82.23","81.3","84.12","84.73","84.1","83.28","84.5","81.1","","",
"Lower middle income","LMC","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.6744149146735","","66.8976953679732","","","","","","64.280517372965","66.6149426244823","","65.3443177928034","",
"Low & middle income","LMY","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lesotho","LSO","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.51","","","",
"Late-demographic dividend","LTE","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.24","84.52","82.65","87.49","84.48","86.5","84.98","85.84","82.48","82","82.28","82.99","84.08","83.96","83.26","83.57","82.53","82.44","83.37","82.85","83.09","83.34","82.78","81.39","81.28",
"Luxembourg","LUX","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.11","80.35","70.26","76.37","78.13","78.39","","77.59","78.21","81.72","80.97","80.25","81.65","80.73","78.52","78.96","78.14","80.09","80.51","79.31","79.41","78.87","79.55","79.18","78.82","80.93","79.74","79.85","79.55","79.78","79.87",
"Latvia","LVA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.39","79.21","79.87","79.52","79.48","79.06","83.35","81.76","83.91","85.23","85.86","84.22","83.08","83.83","85.5","83.69","82.28","83.22","84.25","84.11","85.54","85.61","83.86","77.71","77.42",
"Macao SAR, China","MAC","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.82","91.16","90.8","91.38","91.18","74.09","91.75","90.79","","","","","","",
"St. Martin (French part)","MAF","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Monaco","MCO","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.98","","","","","","",
"Moldova","MDA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.25","76.35","76.25","74.9","74.84","74.46","72.14","73.23","72.12","70.54","70.8","70.1","70.26","69.76","71.23","71.78","71.75","69.1","68.67","71.98","70.7","71.65","73.56",
"Madagascar","MDG","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.75","","","","","","","","","","","79.03","","","69.24","","","","","","","",
"Maldives","MDV","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.62","","","","","94.03","","81.92","","","92.32","","","",
"Middle East & North Africa","MEA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mexico","MEX","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.6","81.27","80.95","82.94","83.72","83.37","83.16","82.3","81.22","80.84","80.87","80.59","79.84","79.03","79.15","78.28","77.56","77.55","73.45","76.26","77.43",
"Marshall Islands","MHL","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.43","","84.37","",
"Middle income","MIC","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"North Macedonia","MKD","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.91","81.7","80.28","80.68","81.33","78.63","81.05","79.51","79.49","79.26","80.45","81.27","81.49","81.24","81.09","81.1","80.22","80.38",
"Mali","MLI","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.4","65.81","76.5","79.49","79.72","81.72","","67.73","","",
"Malta","MLT","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.71","83.75","82.05","81.89","83.62","80.39","76.21","80.34","79.34","77.43","76.84","81.06","81.94","83.25","83.58","83.19","82.89","84.36","85.6","84.93","86.66","87.16","87.63",
"Myanmar","MMR","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.99","","66.53","66.96","66.46","69.63","","",
"Middle East & North Africa (excluding high income)","MNA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.36","77","78.61","78.35","79.04","78.52","78.42","79.66","79.72","77.62","79.5","",
"Mongolia","MNG","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.21","","","75.35","","73.04","78.15","75.69","76.03","73.67","71.94","73.51","71.84","69.69","70.01","67.33","69.46","69.52","66.57","67.55",
"Northern Mariana Islands","MNP","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.31","","","","","","","",
"Mauritania","MRT","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.26","","","","","75.82","","70.67","","","",
"Mauritius","MUS","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.31","65.98","68.8","65.45","66.13","64.69","62.85","61.01","61.98","64.48","","69.67","71.64","73","73.33","74.34","74.88","74.73","73.66","90.6","","",
"Malawi","MWI","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.5","","","","","","75.97","","90.26","","","","71.23","","","66.1","","",
"Malaysia","MYS","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.66","66","67.31","68.25","69.33","69.25","69.64","70.46","71.74","76.62","","",
"North America","NAC","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.957801725772","80.697890861654","80.3596086775289","80.2901471216402","80.1043249500546","79.6297976560552","79.2347177539933","78.8274690573785","78.5013629289645","78.1844828157086","77.9479475655274","77.9304215974348","77.7957113221189","77.7247141891249","77.7225735345318","77.3811903344065","76.5907464819149","76.0989085337879","75.7095252151352","75.1374914335555","74.5293269586941","74.0681998112844","73.7682322778087","73.4622638022819","73.3573860230672","73.3277952130222","71.7917901285211","71.6767947551192","71.9670460169512",
"Namibia","NAM","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.32","","","","","","","","","","","","","","","","82.92","","87.74","86.59","85.72","","74.77","","79.01","","","","",
"New Caledonia","NCL","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.92","","","68.85","","","69.58","","","","","",
"Nigeria","NGA","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.55","","","73.6","","","",
"Nicaragua","NIC","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.5","","","","87.92","","","","","","","89.97","","85.64","","","","","","","","",
"Netherlands","NLD","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.18","81.66","83.17","83.76","82.55","83.53","83.62","82.84","82.48","82.04","79.55","79.93","80.05","79.58","79.75","79.82","80.22","81.05","80.85","80.72","80.16","80.22","80.71","80.47","80.49","79.38","80.48",
"Norway","NOR","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.27","86.3","86.81","85.86","86.44","85.95","86.2","85.93","86.95","86.05","86.29","87.29","87.55","86.98","86.53","85.85","85.49","84.82","85.23","85.01","84.41","83.5","83.19","83.67","83.73","83.06","80.91",
"Nepal","NPL","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.06","","","","","","","","","67.67","","","","","",
"Nauru","NRU","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.11","","","","","","","","87.95","",
"New Zealand","NZL","Labor force with advanced education (% of total working-age population with advanced education)","SL.TLF.ADVN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.76","82.45","83.28","83.57","84.24","83.64","83.76","83.42","","",
